DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230418,m_15131,Visitatore,2970
20230418,m_15131,Abitante abituale,4878
20230418,m_15205,Pernottante,13625
20230418,m_15205,Abitante abituale,33134
20230418,m_15205,Visitatore,50336
20230419,a_15146_15,Pernottante,11930
20230419,a_15146_15,Abitante abituale,18080
20230419,a_15146_15,Visitatore,41416
20230419,a_15146_76,Pernottante,3562
20230419,a_15146_76,Abitante abituale,11933
20230419,a_15146_76,Visitatore,13867
20230419,m_15059,Pernottante,2231
20230419,m_15059,Visitatore,9931
20230419,m_15059,Abitante abituale,18916
20230419,m_15076,Pernottante,883
20230419,m_15076,Visitatore,5046
20230419,m_15076,Abitante abituale,11467
20230420,m_15248,Pernottante,600
20230420,m_15248,Visitatore,3443
20230420,m_15248,Abitante abituale,3758
20230421,m_15113,Pernottante,1064
20230421,m_15113,Visitatore,4997
20230421,m_15113,Abitante abituale,5949
20230422,a_15146_18,Pernottante,4118
20230422,a_15146_18,Visitatore,12415
20230422,a_15146_18,Abitante abituale,12763
20230422,a_15146_22,Pernottante,5217
20230422,a_15146_22,Visitatore,14382
20230422,a_15146_22,Abitante abituale,15505
20230422,m_15108,Pernottante,2580
20230422,m_15108,Visitatore,5824
20230422,m_15108,Abitante abituale,15036
20230423,m_15219,Pernottante,480
20230423,m_15219,Visitatore,1935
20230423,m_15219,Abitante abituale,3266
20230424,a_15146_57,Pernottante,4785
20230424,a_15146_57,Abitante abituale,12185
20230424,a_15146_57,Visitatore,15936
20230425,m_15189,Pernottante,8018
20230425,m_15189,Abitante abituale,26111
20230425,m_15189,Visitatore,28154
20230426,a_15146_05,Abitante abituale,1010
20230426,a_15146_05,Pernottante,1257
20230426,a_15146_05,Visitatore,6264
20230427,a_15146_4,Pernottante,8560
20230427,a_15146_4,Abitante abituale,15556
20230427,a_15146_4,Visitatore,31177
20230427,a_15146_76,Pernottante,3337
20230427,a_15146_76,Abitante abituale,11741
20230427,a_15146_76,Visitatore,13241
20230429,m_15101,Pernottante,341
20230429,m_15101,Visitatore,1348
20230429,m_15101,Abitante abituale,2278
20230429,m_15243,Pernottante,1754
20230429,m_15243,Abitante abituale,6969
20230429,m_15243,Visitatore,8647
20230430,a_15146_8,Pernottante,10290
20230430,a_15146_8,Abitante abituale,17945
20230430,a_15146_8,Visitatore,23429
20230502,a_15146_14,Pernottante,5642
20230502,a_15146_14,Abitante abituale,14227
20230502,a_15146_14,Visitatore,16651
20230502,a_15146_55,Pernottante,5386
20230502,a_15146_55,Abitante abituale,17650
20230502,a_15146_55,Visitatore,25098
20230503,a_15146_55,Pernottante,6302
20230503,a_15146_55,Abitante abituale,17635
20230503,a_15146_55,Visitatore,31645
20230503,m_15142,Pernottante,3001
20230503,m_15142,Visitatore,10592
20230503,m_15142,Abitante abituale,11853
20230506,m_15010,Pernottante,1639
20230506,m_15010,Visitatore,6227
20230506,m_15010,Abitante abituale,8562
20230506,m_15213,Pernottante,1195
20230506,m_15213,Visitatore,8374
20230506,m_15213,Abitante abituale,12586
20230506,m_15242,Pernottante,3460
20230506,m_15242,Abitante abituale,14385
20230506,m_15242,Visitatore,14651
20230507,m_15194,Pernottante,678
20230507,m_15194,Visitatore,3297
20230507,m_15194,Abitante abituale,3434
20230507,m_15243,Pernottante,1873
20230507,m_15243,Abitante abituale,7026
20230507,m_15243,Visitatore,8343
20230509,a_15146_45,Pernottante,4595
20230509,a_15146_45,Abitante abituale,13356
20230509,a_15146_45,Visitatore,15199
20230509,a_15146_52,Pernottante,2483
20230509,a_15146_52,Visitatore,7359
20230509,a_15146_52,Abitante abituale,13115
20230509,m_15103,Pernottante,1362
20230509,m_15103,Visitatore,5934
20230509,m_15103,Abitante abituale,7850
20230509,m_15144,Pernottante,524
20230509,m_15144,Visitatore,2432
20230509,m_15144,Abitante abituale,3137
