categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Concerti,19-01-22,2022-01-19,"Via Larga, 4, Milano, MI",TEATRO LIRICO GIORGIO GABER,Rimandato. La Filarmonica di Milano in concerto al Teatro Lirico Giorgio Gaber,https://www.milanotoday.it/eventi/concerto-filarmonica-di-milano-teatro-lirico-giorgio-gaber.html,Musica e vita notturna,"Minotti Cucine, 4, Via Larga, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4627592,9.1940197
Teatri,10-02-22,2022-01-19,"Via Giorgio Vasari, Milano, MI",Teatro Franco Parenti,"Al Teatro Franco Parenti la prima nazionale di ""Costellazioni""",https://www.milanotoday.it/eventi/spettacolo-costellazioni-franco-parenti.html,Teatro e spettacolo,"Via Giorgio Vasari, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542475,9.2073471
,20-01-22,2022-01-20,"Via Panfilo Castaldi, 26, Milano, MI",Spazio Kryptos,"""Nel fondo dei giorni presenti"", allo Spazio Kryptos una serata contro la violenza sulle donne",https://www.milanotoday.it/eventi/spazio-kryptos-performance-violenza-donne.html,Non classificato,"Hotel Porta Venezia, 26, Via Panfilo Castaldi, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4767991,9.2030254
Spettacoli,20-01-22,2022-01-20,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Valerio Lundini - Il mansplaining spiegato a mia figlia,https://www.teatro.it/spettacoli/milano/degli-arcimboldi/2021-2022/valerio-lundini-il-mansplaining-spiegato-a-mia-figlia,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,20-01-22,2022-01-20,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Valerio Lundini - Il mansplaining spiegato a mia figlia,https://www.teatro.it/spettacoli/milano/degli-arcimboldi/2021-2022/valerio-lundini-il-mansplaining-spiegato-a-mia-figlia,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,20-01-22,2022-01-20,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Concerto Filarmonica della Scala,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2021-2022/concerto-filarmonica-della-scala,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701
Teatri,30-01-22,2022-01-21,"Viale dell'Innovazione, 79, Milano, MI",Teatro degli Arcimboldi,Arturo Brachetti in uno show imperdibile al Teatro Arcimboldi,https://www.milanotoday.it/eventi/spettacolo-arturo-brachetti-teatro-arcimboldi.html,Teatro e spettacolo,"Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20126, Italia",45.5163468,9.2131669
Teatri,23-01-22,2022-01-21,"Via Andrea Maria Ampère, 1, Milano, MI",MTM Teatro Leonardo,Papagheno papaghena  i pappagalli di Mozart,https://www.milanotoday.it/eventi/papagheno-papaghena-i-pappagalli-2021.html,Teatro e spettacolo,"Teatro Leonardo da Vinci, 1, Via Andrea Maria Ampère, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4795266,9.2263901
Spettacoli,21-01-22,2022-01-21,"p.zza IV Novembre 3,20025, Legnano, MI,Italia",Talisio Tirinnanzi,That's Amore,https://www.teatro.it/spettacoli/legnano/talisio-tirinnanzi/2021-2022/thats-amore,Teatro e spettacolo,"Scuola Secondaria di Primo Grado Giovanni Ungaretti, 3, Piazza Quattro Novembre, San Giorgio su Legnano, Milano, Lombardia, 20034, Italia",45.5765251,8.9157963
,21-01-22,2022-01-21,"Via Vincenzo Monti, 16, Milano, MI",Studio Rosa,Lombardia: rooms imprese e professionisti al lavoro,https://www.milanotoday.it/eventi/lombardia-rooms-imprese-e-professionisti.html,Non classificato,"Zakuro, 16, Via Vincenzo Monti, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4675253,9.1738859
Mostre,06-02-22,2022-01-22,"Via Garegnano 28, Milano, MI",Galleria Certosa,Laura Zeni. Anime,https://www.milanotoday.it/eventi/laura-zeni-anime-laura-zeni-2021.html,Arte e cultura,"28, Via Garegnano, Maggiore - Musocco, Garegnano, Municipio 8 di Milano, Milano, Lombardia, 20157, Italia",45.5024229,9.1288823
Spettacoli,23-01-22,2022-01-23,"Via Pier Lombardo 14,20135, Milano, MI,Italia",Franco Parenti - Sala Blu,Mrs Fairytale,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-acomea/2021-2022/mrs-fairytale,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109
Spettacoli,23-01-22,2022-01-23,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Don Chisciotte,https://www.teatro.it/spettacoli/milano/manzoni/2021-2022/don-chisciotte,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,23-01-22,2022-01-23,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,The Spank,https://www.teatro.it/spettacoli/milano/carcano/2021-2022/the-spank,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
Spettacoli,23-01-22,2022-01-23,"Alzaia Naviglio Grande 192,20144, Milano, MI,Italia",Alta Luce Teatro,La leggenda di Redenta Tiria,https://www.teatro.it/spettacoli/milano/alta-luce-teatro/2021-2022/la-leggenda-di-redenta-tiria,Teatro e spettacolo,"192, Alzaia Naviglio Grande, Lorenteggio, Municipio 6, Milano, Lombardia, 20146, Italia",45.4455309,9.1442102
Spettacoli,23-01-22,2022-01-23,"Via Pier Lombardo 14,20135, Milano, MI,Italia",Franco Parenti - Sala Blu,Mrs Fairytale,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-acomea/2021-2022/mrs-fairytale,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109
Mercatini,23-01-22,2022-01-23,"Via Mecenate, 88/A, Milano, MI",East Market,East Market torna in città con 300 espositori vintage,https://www.milanotoday.it/eventi/mercatino-east-market-mecenate.html,Mercati e shopping,"Via Mecenate, Mecenate, Municipio 4, Milano, Lombardia, 20059, Italia",45.4529888,9.2481173
Teatri,24-01-22,2022-01-24,"Corso di Porta Romana, 63, Milano, MI",Teatro Carcano,"Annullato. Al Teatro Carcano il Decamerock, storie di rock e dannazione",https://www.milanotoday.it/eventi/spettacolo-teatro-carcano-decamerock.html,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
Incontri,24-01-22,2022-01-24,"Via Ulisse Gobbi, 5, Milano, MI",Aula Magna Università Bocconi,Eneide: la storia infinita dei migranti - serata in ricordo di Roberto Franceschi,https://www.milanotoday.it/eventi/eneide-la-storia-infinita-dei-migranti.html,Formazione e networking,"Biblioteca Università Bocconi, 5, Via Ulisse Gobbi, Vigentina, Municipio 5, Milano, Lombardia, 20136, Italia",45.4485576,9.1887032
