categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Incontri,22-09-19,2019-09-21,"Via Aristotile Fioravanti, 30, Milano, MI",Dojo Scuola della Respirazione,"""Porte aperte 2019 "" scuola della respirazione Milano",https://www.milanotoday.it/eventi/porte-aperte-2019-scuola-della-respirazione-milano.html,Formazione e networking,"30, Via Aristotile Fioravanti, Sarpi, Porta Volta, Municipio 8 di Milano, Milano, Lombardia, 20154, Italia",45.4820945,9.1751128,0
Spettacoli,21-09-19,2019-09-21,"Via MacMahon,16,20155, Milano, MI,Italia",Out Off,Amore Altrove,https://www.teatro.it/spettacoli/milano/out-off/2019-2020/amore-altrove,Teatro e spettacolo,"20155, Italy",45.4643,9.1895,0
Manifestazioni,21-09-19,2019-09-21,"Piazza Duca d'Aosta, Milano, MI",piazza Duca d'Aosta,Protesta anti caccia: il 21 settembre associazioni contro cattura uccelli selvatici,https://www.milanotoday.it/eventi/protesta-anti-caccia.html,Altri eventi,"Piazza Duca d'Aosta, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4848412,9.2032441,0
,22-09-19,2019-09-21,"Corso Magenta, 61, Milano, MI",,"Milano, ecco la maxi fiera dedicata ai dolci",https://www.milanotoday.it/eventi/fiera-dolci.html,Non classificato,"61, Corso Magenta, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4656392,9.1722471,0
Mostre,30-09-20,2019-09-21,"Viale Gadio, 2, Milano, MI",Acquario Civico di Milano,A Milano una mostra multimediale per bambini sui cetacei,https://www.milanotoday.it/eventi/mostra-balene-bambini-acquario-civico.html,Arte e cultura,"2, Viale Gerolamo Gadio, Brera, Milano, Lombardia, 20121, Italia",45.4737856,9.1809276,0
Concerti,21-09-19,2019-09-21,"Viale Enrico Forlanini, Milano, MI",Aeroporto di Linate,Il Jova Beach Party arriva a Linate: tutte le informazioni del grande concerto di Jovanotti,https://www.milanotoday.it/eventi/jova-beach-party-linate.html,Musica e vita notturna,"Viale Enrico Forlanini, Parco Monluè - Ponte Lambro, Municipio 4, Milano, Lombardia, 21771, Italia",45.4618211,9.265585,6
Turismo,21-09-19,2019-09-21,"Via San Vittore, 25, Milano, MI",Basilica di San Vittore al Corpo,Visite gratuite al campanile della Basilica Porziana di San Vittore 21 settembre 2019,https://www.milanotoday.it/eventi/basilica-san-vittore-21-settembre.html,Non classificato,"25, Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4629064,9.1701019,0
,21-09-19,2019-09-21,"Via San Domenico Savio, Milano, MI",Parco Chiesa Rossa,Una giornata per vivere con “il Buddha in periferia”,https://www.milanotoday.it/eventi/Buddha-parco-chiesa-rossa-21-settembre-2019.html,Non classificato,"Via San Domenico Savio, Stadera, Municipio 5, Milano, Lombardia, 20142, Italia",45.4300289,9.1725106,7
Manifestazioni,20-10-19,2019-09-21,"via erba 2, Milano, MI",,Alla scoperta delle piante d'autunno in un festival a Paderno Dugnano,https://www.milanotoday.it/eventi/festival-piante-paderno.html,Altri eventi,"2, Via Erba, Cusano, Cusano Milanino, Zona Omogenea Milano Nord, Milano, Lombardia, 20095, Italia",45.5520532,9.1840748,5
Manifestazioni,22-09-19,2019-09-21,"Via Giulio Cesare Procaccini 4, Milano, MI",Fabbrica del Vapore,"Al Milano off fringe festival, doppio appuntamento con ""le ore piccole""",https://www.milanotoday.it/eventi/al-milano-off-fringe-festival-doppio-appuntamento.html,Altri eventi,"4, Via Giulio Cesare Procaccini, Bullona, Porta Volta, Municipio 8 di Milano, Milano, Lombardia, 20154, Italia",45.4839945,9.1753796,0
Incontri,21-09-19,2019-09-21,"Piazza Castello, 31, Milano, MI",Castello Visconteo,Ferrhabily: lo sport oltre ogni limite,https://www.milanotoday.it/eventi/ferrhabily-lo-sport-oltre-ogni-limite.html,Formazione e networking,"31, Piazza Castello, Cascina Pariana, Pessano con Bornago, Milano, Lombardia, 20042, Italia",45.5510447,9.3821142,2
Visita Guidata,21-09-19,2019-09-21,"Piazza Duomo, Milano, MI",Luogo sconosciuto,"La Nivola del Duomo: un Rito tutto Milanese, tra Arte, Cultura e Storia",,Arte e cultura,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0
Visita Guidata,22-09-19,2019-09-21,"Via Frova, Milano, MI",Luogo sconosciuto,Visita all’archivio e alla mostra WEST EAST. Equivoci e complicità,,Arte e cultura,"Via Giovanni Frova, Borgo Primavera, Cinisello, Cinisello Balsamo, Zona Omogenea Milano Nord, Milano, Lombardia, 20092, Italia",45.5576105,9.2148765,5
Visita Guidata,22-09-19,2019-09-21,"Viale Gramsci, Milano, MI",Luogo sconosciuto,Al centro del mondo Campari,,Arte e cultura,"Viale Antonio Gramsci, Restellone, Sesto San Giovanni, Zona Omogenea Milano Nord, Milano, Lombardia, 20099, Italia",45.5440389,9.2406276,5
Visita Guidata,21-09-19,2019-09-21,"Piazza della Scala, Milano, MI",Gallerie d'Italia,Ottocento nascosto,,Arte e cultura,"Piazza della Scala, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4672839,9.1901494,0
Mostra,22-09-19,2019-09-21,"Corso di Porta Vittoria, Milano, MI",Luogo sconosciuto,Il fischio del progresso. Il treno nei documenti storici della Biblioteca Centrale e nelle fotografie di Tecla Faranda e Lamberto Morosini,,Arte e cultura,"Corso di Porta Vittoria, Guastalla, Municipio 1, Milano, Lombardia, 29135, Italia",45.4623506,9.2064961,9
