categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id
Incontri,12-04-19,12-04-19,"Via Pasquale Sottocorno, 27, Milano, MI",Art Luxury,Astrattismo,https://www.milanotoday.it/eventi/astrattismo-2019-2019.html,Formazione e networking,"Ricci Osteria, 27, Via Pasquale Sottocorno, XXII Marzo, Municipio 4, Milano, Lombardia, 20129, Italia",45.4662072,9.2119112,0,9,0.9
,12-04-19,12-04-19,"Corso Monforte, 2, Milano, MI",LEGO Store,La Torre Unicredit diventa un Lego: ecco il maxi progetto costruito con i mattoncini,https://www.milanotoday.it/eventi/fuorisolone-Lego.html,Non classificato,"Lego, 2, Corso Monforte, Duomo, Brera, Milano, Lombardia, 20122, Italia",45.4666904,9.1980152,0,0,0.0
Incontri,13-04-19,12-04-19,"Via Pietrasanta, 16, Milano, MI",Magazzini Generali,Ellen Allien + pfadfinderei | Milan design week,https://www.milanotoday.it/eventi/ellen-allien-pfadfinderei-milan-design-week-ellen-allien-2019.html,Formazione e networking,"16, Via Pietrasanta, Ex Om - Morivione, Municipio 5, Milano, Lombardia, 20141, Italia",45.4440954,9.1951652,0,7,0.7
Disco&Feste,14-04-19,12-04-19,"Via Giovanni Segantini, 6, Milano, MI",Piscine Argelati,"""Fuori Ape"": musica, aperitivo ed installazioni durante il Fuorisalone alla piscina Argelati dal 12 al 14 aprile",https://www.milanotoday.it/eventi/fuorisalone-musica-aperitivo-piscina-argelati.html,Musica e vita notturna,"6, Via Giovanni Segantini, Navigli, Municipio 6, Milano, Lombardia, 20143, Italia",45.4493332,9.172879,0,0,0.0
Mostre,14-04-19,12-04-19,"Piazza Luigi di Savoia, 1, Milano, MI",Padiglione Reale Stazione Milano Centrale,"Design Week, apertura straordinaria della Sala segreta dei Savoia in Stazione Centrale",https://www.milanotoday.it/eventi/sala-reale-stazione-centrale-aperta.html,Arte e cultura,"Starbucks, 1, Piazza Luigi di Savoia, Centrale, Municipio 2, Milano, Lombardia, 20125, Italia",45.4857164,9.2057912,0,4,0.4
Manifestazioni,12-04-19,12-04-19,"Viale Gabriele D'Annunzio, Milano, MI",Darsena,Fuorisalone 2019: il giro dei Navigli in barca per assaggiare gratuitamente 3 menù speciali di Deliveroo,https://www.milanotoday.it/eventi/fuorisalone-2019-barca-deliveroo.html,Altri eventi,"Viale Gabriele d'Annunzio, Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.453777,9.176252,0,0,0.0
Disco&Feste,12-04-19,12-04-19,"Via Larga, 8, Milano, MI",Quantic,"""Fluo Design Week"": il party fluo di Club Haus venerdì 12 aprile al Quantic",https://www.milanotoday.it/eventi/fluo-design-week-party-fluo-club-haus.html,Musica e vita notturna,"Spiller, 8, Via Larga, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4621982,9.1929566,0,0,0.0
Incontri,12-04-19,12-04-19,"Corso Vittorio Emanuele II, 11, Milano, MI",Urban Center,A Teatro in Galleria. La storia dei teatri milanesi raccontata da Slow city,https://www.milanotoday.it/eventi/a-teatro-in-galleria-2019.html,Formazione e networking,"11, Corso Vittorio Emanuele Secondo, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4655011,9.1954366,0,0,0.0
Incontri,12-04-19,12-04-19,"Via Genova Thaon di Revel, 7, Milano, MI",Teatro 7,Alfonso Signorini dialoga con lo chef stellato Bruno Barbieri venerdì 12 aprile al Teatro 7,https://www.milanotoday.it/eventi/alfonso-signorini-chef-barbieri-teatro-7.html,Formazione e networking,"Via Genova Thaon Di Revel, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4919001,9.1888215,0,0,0.0
Concerti,13-04-19,13-04-19,"Via Mortara, 4, Milano, MI",Corte dei Miracoli,L'Arcadia trio in concerto alla corte dei miracoli,https://www.milanotoday.it/eventi/l-arcadia-trio-in-concerto-alla-corte-dei-miracoli-2019.html,Musica e vita notturna,"Corte dei Miracoli, 4, Via Mortara, Navigli, Municipio 6, Milano, Lombardia, 20144, Italia",45.454031,9.1726822,0,0,0.0
